hospital_id,hospital_name,country,city,region,month,year,total_admissions,heart_failure_cases,mortality_rate_30day,mortality_rate_90day,mortality_rate_inhospital,readmission_rate_30day,avg_length_of_stay_days,complication_rate,hf_mortality_rate,hf_readmission_rate,hf_avg_los
H022,Hospital Clínico Universidad Católica,Chile,Santiago,Metropolitan Santiago,7,2024,1689.76,88.07,3.59,4.4,1.89,15.15,7.47,10.27,5.74,20.96,7.34
H027,Hospital San José,Colombia,Bogotá,Cundinamarca,12,2025,1241.37,82.97,2.77,5.22,2.42,9.2,5.76,9.7,7.59,18.09,9.53
H022,Hospital Clínico Universidad Católica,Chile,Santiago,Metropolitan Santiago,3,2025,1447.07,125.16,2.81,5.58,2.52,11.6,6.81,12.85,6.97,13.49,8.22
H014,Hospital Sírio-Libanês,Brazil,São Paulo,Southeast Brazil,5,2024,1354.18,85.76,2.09,5.36,2.12,14.37,5.06,7.88,9.13,18.23,7.83
H019,Hospital del Salvador,Chile,Santiago,Metropolitan Santiago,6,2025,931.76,85.03,2.51,3.27,2.67,10.33,6.11,12.46,8.03,18.52,7.0
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,12,2025,1709.62,102.98,2.38,5.05,2.32,11.28,5.91,11.69,2.07,15.25,10.41
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,9,2024,1158.86,108.75,3.34,4.56,2.89,10.72,6.38,11.02,5.22,17.76,8.26
H025,Hospital Santo Tomás,Panama,Panama City,Panama Province,7,2025,845.28,67.14,2.46,4.83,2.47,15.04,5.99,12.31,5.65,18.56,4.46
H008,Hospital México,Costa Rica,San José,San José Province,8,2024,1520.81,92.43,2.67,3.16,1.03,13.8,5.97,10.13,6.3,23.16,8.12
H004,Hospital San Vicente de Paúl,Colombia,Medellín,Antioquia,2,2025,1348.83,90.32,3.41,6.75,2.4,11.76,5.82,10.05,5.36,15.26,9.14
H010,Hospital Escuela,Honduras,Tegucigalpa,Francisco Morazán,4,2025,1267.69,85.1,3.09,5.93,3.13,14.45,5.46,6.35,10.68,17.42,10.03
H022,Hospital Clínico Universidad Católica,Chile,Santiago,Metropolitan Santiago,6,2025,1345.15,118.4,2.69,4.57,2.56,16.94,6.26,6.32,7.97,15.84,6.88
H010,Hospital Escuela,Honduras,Tegucigalpa,Francisco Morazán,9,2024,1374.04,110.28,1.4,4.61,2.98,10.96,5.87,10.35,6.34,21.51,8.65
H011,Hospital Universitario de Caracas,Venezuela,Caracas,Capital District,3,2024,937.86,80.61,2.08,6.01,2.39,13.56,5.8,10.07,8.95,19.2,7.73
H025,Hospital Santo Tomás,Panama,Panama City,Panama Province,9,2024,1588.99,133.96,3.61,6.15,1.62,16.79,5.03,13.81,8.09,20.94,7.21
H030,Hospital Universitario San Ignacio,Colombia,Bogotá,Cundinamarca,12,2024,1540.76,111.32,3.01,3.35,3.05,13.55,6.27,10.56,6.08,13.56,7.75
H011,Hospital Universitario de Caracas,Venezuela,Caracas,Capital District,5,2024,1350.08,80.65,1.0,4.06,1.6,12.89,6.35,11.44,6.74,18.8,10.1
H020,Hospital General de Agudos,Argentina,Buenos Aires,Buenos Aires Province,5,2025,1493.62,87.42,1.65,6.0,2.77,14.12,5.52,9.57,10.14,23.24,7.46
H010,Hospital Escuela,Honduras,Tegucigalpa,Francisco Morazán,9,2025,1304.63,77.2,3.63,4.2,1.76,9.07,7.03,11.08,4.28,18.45,9.31
H007,Hospital Cayetano Heredia,Peru,Lima,Lima Region,5,2025,1378.42,69.61,1.51,2.77,2.17,15.02,4.53,8.32,9.55,22.75,6.38
H012,Hospital das Clínicas,Brazil,São Paulo,Southeast Brazil,5,2024,1292.08,98.5,3.5,4.59,1.84,14.15,5.0,10.55,9.24,16.29,9.84
H022,Hospital Clínico Universidad Católica,Chile,Santiago,Metropolitan Santiago,9,2024,1094.21,97.61,2.27,3.1,2.5,13.95,4.76,14.11,11.11,16.42,7.22
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,9,2024,1139.27,77.09,2.51,3.84,2.5,13.6,4.77,8.32,7.35,17.38,10.67
H004,Hospital San Vicente de Paúl,Colombia,Medellín,Antioquia,10,2024,1752.69,93.17,3.67,5.43,3.62,10.84,5.58,11.36,7.53,18.04,6.61
H012,Hospital das Clínicas,Brazil,São Paulo,Southeast Brazil,5,2024,1709.19,56.07,2.01,3.87,1.36,15.32,5.24,13.98,7.78,19.2,6.71
H026,Hospital Universitario de Neiva,Colombia,Neiva,Huila,11,2024,1126.9,99.19,1.92,5.35,1.77,13.93,6.39,12.08,7.91,12.39,7.47
H005,Hospital Maciel,Uruguay,Montevideo,Montevideo,1,2024,1249.46,81.82,3.18,4.89,2.42,11.88,5.89,10.61,7.46,21.17,9.82
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,3,2025,1122.46,89.67,2.88,3.21,1.84,13.87,6.15,10.93,4.98,13.36,6.96
H013,Hospital Privado Universitario,Argentina,Córdoba,Córdoba Province,3,2024,1075.82,75.33,2.14,6.23,1.17,13.01,5.33,8.01,6.8,12.95,9.3
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,3,2024,1257.69,116.48,2.56,4.06,2.96,11.92,6.64,10.33,7.26,17.37,9.51
H030,Hospital Universitario San Ignacio,Colombia,Bogotá,Cundinamarca,8,2024,1415.11,90.56,1.12,4.35,0.96,16.64,7.67,14.61,7.7,14.95,8.2
H015,Fundación Cardioinfantil,Colombia,Bogotá,Cundinamarca,1,2024,977.83,100.71,2.22,5.49,1.48,12.85,6.71,12.34,7.12,24.66,8.63
H027,Hospital San José,Colombia,Bogotá,Cundinamarca,2,2024,1116.08,91.2,3.63,5.18,1.77,13.14,4.37,7.24,7.32,16.25,8.48
H006,Hospital Italiano,Argentina,Buenos Aires,Buenos Aires Province,9,2024,1221.85,94.75,3.0,4.7,2.02,16.9,4.37,12.59,3.99,16.64,9.45
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,10,2025,1597.69,87.16,3.65,4.01,2.42,10.05,4.56,10.43,6.5,20.77,9.29
H022,Hospital Clínico Universidad Católica,Chile,Santiago,Metropolitan Santiago,8,2025,1522.66,102.66,1.45,3.39,2.86,12.6,5.29,8.37,9.19,25.34,9.4
H023,Hospital Universitario Fundación Santa Fe,Colombia,Bogotá,Cundinamarca,11,2025,992.29,79.68,2.58,5.5,1.31,14.15,5.88,11.76,10.71,20.06,8.18
H005,Hospital Maciel,Uruguay,Montevideo,Montevideo,12,2024,1098.34,107.74,2.61,5.86,2.01,15.24,4.4,13.41,5.22,16.6,9.34
H021,Hospital Base Valdivia,Chile,Valdivia,Los Ríos Region,10,2024,1417.35,61.73,2.49,4.33,1.44,14.31,5.62,9.03,7.58,12.99,9.82
H015,Fundación Cardioinfantil,Colombia,Bogotá,Cundinamarca,6,2025,1655.14,104.41,2.8,3.94,2.55,13.3,5.57,15.75,8.02,18.24,8.93
H007,Hospital Cayetano Heredia,Peru,Lima,Lima Region,7,2024,1458.03,101.11,4.12,4.45,2.3,11.49,4.81,9.36,3.47,16.2,8.21
H029,Hospital General de Zona No. 1,Mexico,Tijuana,Baja California,6,2024,1687.36,93.85,3.48,3.41,1.57,10.03,5.47,11.78,5.55,17.67,7.84
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,8,2024,1206.04,111.58,2.66,7.0,2.63,12.42,5.57,9.0,5.37,22.81,10.81
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,2,2024,1686.78,113.14,3.33,6.83,1.64,15.36,6.04,12.06,6.76,16.83,10.52
H012,Hospital das Clínicas,Brazil,São Paulo,Southeast Brazil,11,2025,1505.58,70.16,1.77,7.61,2.58,11.63,4.79,9.15,9.67,16.1,6.87
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,6,2025,820.83,70.38,2.2,4.15,2.04,12.82,4.93,11.24,8.03,19.37,7.17
H027,Hospital San José,Colombia,Bogotá,Cundinamarca,11,2025,1157.7,137.4,2.27,4.75,1.95,16.62,5.95,10.45,6.83,17.41,8.95
H018,Hospital San Juan de Dios,Bolivia,La Paz,La Paz Department,9,2025,893.48,98.06,1.9,5.41,2.71,11.95,5.44,14.28,7.71,19.69,9.2
H028,Hospital Escuela Dr. Roberto Calderón,Nicaragua,Managua,Managua Department,3,2024,1311.85,97.06,3.86,4.26,2.29,12.73,5.92,8.08,6.73,17.96,7.39
H029,Hospital General de Zona No. 1,Mexico,Tijuana,Baja California,8,2025,1371.95,96.42,2.93,6.71,1.93,10.74,6.24,10.03,7.19,21.55,9.51
H007,Hospital Cayetano Heredia,Peru,Lima,Lima Region,12,2024,1516.07,94.36,2.55,5.01,2.84,17.19,5.96,9.94,5.47,17.25,9.2
H027,Hospital San José,Colombia,Bogotá,Cundinamarca,9,2025,1469.31,114.0,2.82,2.42,1.75,12.35,7.45,12.3,7.79,15.51,7.48
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,10,2024,1413.69,65.61,3.69,4.55,2.54,15.14,5.81,10.2,5.29,14.79,7.75
H026,Hospital Universitario de Neiva,Colombia,Neiva,Huila,11,2025,1577.63,86.96,2.85,3.5,1.71,15.84,6.77,12.58,6.42,21.99,7.67
