hospital_id,hospital_name,country,city,region,month,year,total_admissions,heart_failure_cases,mortality_rate_30day,mortality_rate_90day,mortality_rate_inhospital,readmission_rate_30day,avg_length_of_stay_days,complication_rate,hf_mortality_rate,hf_readmission_rate,hf_avg_los
H030,Hospital Universitario San Ignacio,Colombia,Bogotá,Cundinamarca,1,2024,1813,128,1.7,3.0,1.3,10.3,4.6,6.5,4.8,14.5,6.6
H020,Hospital General de Agudos,Argentina,Buenos Aires,Buenos Aires Province,12,2024,2143,151,2.2,3.7,1.7,12.0,5.3,8.1,6.3,16.7,7.6
H017,Hospital Clínica Bíblica,Costa Rica,San José,San José Province,3,2024,1059,75,1.6,2.8,1.2,9.8,4.5,5.9,4.5,13.4,6.4
H019,Hospital del Salvador,Chile,Santiago,Metropolitan Santiago,3,2024,1755,124,2.0,3.5,1.6,11.9,5.2,7.9,6.1,16.5,7.4
H018,Hospital San Juan de Dios,Bolivia,La Paz,La Paz Department,11,2024,804,55,4.2,6.8,3.5,18.7,7.6,15.6,10.3,27.1,10.8
H014,Hospital Sírio-Libanês,Brazil,São Paulo,Southeast Brazil,5,2024,1734,122,1.0,1.8,0.7,7.2,3.5,3.7,2.6,9.3,4.8
H019,Hospital del Salvador,Chile,Santiago,Metropolitan Santiago,12,2024,1747,123,1.8,3.2,1.4,11.0,4.9,7.2,5.6,15.4,7.0
H017,Hospital Clínica Bíblica,Costa Rica,San José,San José Province,10,2024,1035,72,1.5,2.6,1.1,9.4,4.3,5.6,4.2,12.8,6.1
H005,Hospital Maciel,Uruguay,Montevideo,Montevideo,4,2024,748,52,2.8,4.7,2.3,13.9,5.9,10.6,7.2,20.4,8.5
H022,Hospital Clínico Universidad Católica,Chile,Santiago,Metropolitan Santiago,1,2024,1899,134,1.2,2.2,0.9,8.3,4.0,4.8,3.5,11.6,5.5
H021,Hospital Base Valdivia,Chile,Valdivia,Los Ríos Region,1,2025,1262,88,2.4,4.1,1.8,13.0,5.7,9.2,6.8,18.2,8.2
